0.01,0.307
0.02,0.323
0.03,0.384
0.05,0.539
0.075,0.712
0.1,0.789
0.15,0.758
0.2,0.669
0.25,0.589
0.3,0.508
0.4,0.394
0.5,0.317
0.75,0.211
1,0.151
1.5,0.088
2,0.059
3,0.031
4,0.019
5,0.014
6,0.01
7,0.008
8,0.007
9,0.006
10,0.005
